"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
country_othent_text_244,governance_amendments,,text,"Country of Entity",,,,,,,,,,,,," @CALCTEXT(IF([country_othent_244] = '1', 'Australia', [country_othent_oth_244]))
@HIDDEN"
entities_table_othent_245,governance_amendments,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.12%;"" border=""1""> <tbody> <tr> <td style=""width: 30%;""> <p>[entity_othent_244]</p> <p>([country_othent_text_244])</p> </td> <td style=""width: 40%;""> <p>{nda_othent_245}</p> <p>{ctra_othent_245}</p> <p>{collab_othent_245}</p> <p>{fund_othent_245}</p> <p>{dta_othent_245}</p> <p>{indem_othent_245}</p> <p>{service_othent_245}</p> <p>{license_othent_245}</p> <p>{commerce_othent_245}</p> <p>{other_othent_245}</p> <p>{none_othent_245}</p> </td> <td style=""width: 30%;""> <p>{site_date_othent_245}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[amend_entities_othent] <> """" AND [amend_entities_othent] >= '9'",,,,,,
country_othent_text_254,governance_amendments,,text,"Country of Entity",,,,,,,,,,,,," @CALCTEXT(IF([country_othent_254] = '1', 'Australia', [country_othent_oth_254]))
@HIDDEN"
entities_table_othent_255,governance_amendments,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.12%;"" border=""1""> <tbody> <tr> <td style=""width: 30%;""> <p>[entity_othent_254]</p> <p>([country_othent_text_254])</p> </td> <td style=""width: 40%;""> <p>{nda_othent_255}</p> <p>{ctra_othent_255}</p> <p>{collab_othent_255}</p> <p>{fund_othent_255}</p> <p>{dta_othent_255}</p> <p>{indem_othent_255}</p> <p>{service_othent_255}</p> <p>{license_othent_255}</p> <p>{commerce_othent_255}</p> <p>{other_othent_255}</p> <p>{none_othent_255}</p> </td> <td style=""width: 30%;""> <p>{site_date_othent_255}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[amend_entities_othent] <> """" AND [amend_entities_othent] >= '10'",,,,,,
nda_othent_165,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_164(1)] = '1'",,,,,,
ctra_othent_165,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_164(2)] = '1'",,,,,,
collab_othent_165,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_164(3)] = '1'",,,,,,
fund_othent_165,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_164(4)] = '1'",,,,,,
dta_othent_165,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_164(5)] = '1'",,,,,,
indem_othent_165,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_164(6)] = '1'",,,,,,
service_othent_165,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_164(7)] = '1'",,,,,,
license_othent_165,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_164(8)] = '1'",,,,,,
commerce_othent_165,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_164(9)] = '1'",,,,,,
other_othent_165,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_164]",,,,,,"[agree_othent_164(10)] = '1'",,,,,,
none_othent_165,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_164(11)] = '1'",,,,,,
site_date_othent_165,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_165,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 1","if([site_date_othent_165] <> """", datediff([site_date_othent_165], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_175,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_174(1)] = '1'",,,,,,
ctra_othent_175,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_174(2)] = '1'",,,,,,
collab_othent_175,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_174(3)] = '1'",,,,,,
fund_othent_175,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_174(4)] = '1'",,,,,,
dta_othent_175,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_174(5)] = '1'",,,,,,
indem_othent_175,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_174(6)] = '1'",,,,,,
service_othent_175,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_174(7)] = '1'",,,,,,
license_othent_175,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_174(8)] = '1'",,,,,,
commerce_othent_175,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_174(9)] = '1'",,,,,,
other_othent_175,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_174]",,,,,,"[agree_othent_174(10)] = '1'",,,,,,
none_othent_175,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_174(11)] = '1'",,,,,,
site_date_othent_175,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_175,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 2","if([site_date_othent_175] <> """", datediff([site_date_othent_175], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_185,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_184(1)] = '1'",,,,,,
ctra_othent_185,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_184(2)] = '1'",,,,,,
collab_othent_185,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_184(3)] = '1'",,,,,,
fund_othent_185,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_184(4)] = '1'",,,,,,
dta_othent_185,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_184(5)] = '1'",,,,,,
indem_othent_185,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_184(6)] = '1'",,,,,,
service_othent_185,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_184(7)] = '1'",,,,,,
license_othent_185,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_184(8)] = '1'",,,,,,
commerce_othent_185,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_184(9)] = '1'",,,,,,
other_othent_185,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_184]",,,,,,"[agree_othent_184(10)] = '1'",,,,,,
none_othent_185,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_184(11)] = '1'",,,,,,
site_date_othent_185,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_185,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 3","if([site_date_othent_185] <> """", datediff([site_date_othent_185], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_195,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_194(1)] = '1'",,,,,,
ctra_othent_195,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_194(2)] = '1'",,,,,,
collab_othent_195,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_194(3)] = '1'",,,,,,
fund_othent_195,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_194(4)] = '1'",,,,,,
dta_othent_195,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_194(5)] = '1'",,,,,,
indem_othent_195,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_194(6)] = '1'",,,,,,
service_othent_195,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_194(7)] = '1'",,,,,,
license_othent_195,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_194(8)] = '1'",,,,,,
commerce_othent_195,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_194(9)] = '1'",,,,,,
other_othent_195,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_194]",,,,,,"[agree_othent_194(10)] = '1'",,,,,,
none_othent_195,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_194(11)] = '1'",,,,,,
site_date_othent_195,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_195,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 4","if([site_date_othent_195] <> """", datediff([site_date_othent_195], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_205,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_204(1)] = '1'",,,,,,
ctra_othent_205,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_204(2)] = '1'",,,,,,
collab_othent_205,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_204(3)] = '1'",,,,,,
fund_othent_205,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_204(4)] = '1'",,,,,,
dta_othent_205,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_204(5)] = '1'",,,,,,
indem_othent_205,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_204(6)] = '1'",,,,,,
service_othent_205,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_204(7)] = '1'",,,,,,
license_othent_205,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_204(8)] = '1'",,,,,,
commerce_othent_205,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_204(9)] = '1'",,,,,,
other_othent_205,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_204]",,,,,,"[agree_othent_204(10)] = '1'",,,,,,
none_othent_205,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_204(11)] = '1'",,,,,,
site_date_othent_205,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_205,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 5","if([site_date_othent_205] <> """", datediff([site_date_othent_205], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_215,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_214(1)] = '1'",,,,,,
ctra_othent_215,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_214(2)] = '1'",,,,,,
collab_othent_215,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_214(3)] = '1'",,,,,,
fund_othent_215,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_214(4)] = '1'",,,,,,
dta_othent_215,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_214(5)] = '1'",,,,,,
indem_othent_215,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_214(6)] = '1'",,,,,,
service_othent_215,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_214(7)] = '1'",,,,,,
license_othent_215,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_214(8)] = '1'",,,,,,
commerce_othent_215,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_214(9)] = '1'",,,,,,
other_othent_215,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_214]",,,,,,"[agree_othent_214(10)] = '1'",,,,,,
none_othent_215,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_214(11)] = '1'",,,,,,
site_date_othent_215,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_215,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 6","if([site_date_othent_215] <> """", datediff([site_date_othent_215], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_225,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_224(1)] = '1'",,,,,,
ctra_othent_225,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_224(2)] = '1'",,,,,,
collab_othent_225,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_224(3)] = '1'",,,,,,
fund_othent_225,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_224(4)] = '1'",,,,,,
dta_othent_225,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_224(5)] = '1'",,,,,,
indem_othent_225,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_224(6)] = '1'",,,,,,
service_othent_225,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_224(7)] = '1'",,,,,,
license_othent_225,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_224(8)] = '1'",,,,,,
commerce_othent_225,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_224(9)] = '1'",,,,,,
other_othent_225,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_224]",,,,,,"[agree_othent_224(10)] = '1'",,,,,,
none_othent_225,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_224(11)] = '1'",,,,,,
site_date_othent_225,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_225,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 7","if([site_date_othent_225] <> """", datediff([site_date_othent_225], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_235,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_234(1)] = '1'",,,,,,
ctra_othent_235,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_234(2)] = '1'",,,,,,
collab_othent_235,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_234(3)] = '1'",,,,,,
fund_othent_235,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_234(4)] = '1'",,,,,,
dta_othent_235,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_234(5)] = '1'",,,,,,
indem_othent_235,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_234(6)] = '1'",,,,,,
service_othent_235,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_234(7)] = '1'",,,,,,
license_othent_235,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_234(8)] = '1'",,,,,,
commerce_othent_235,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_234(9)] = '1'",,,,,,
other_othent_235,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_234]",,,,,,"[agree_othent_234(10)] = '1'",,,,,,
none_othent_235,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_234(11)] = '1'",,,,,,
site_date_othent_235,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_235,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 8","if([site_date_othent_235] <> """", datediff([site_date_othent_235], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_245,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_244(1)] = '1'",,,,,,
ctra_othent_245,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_244(2)] = '1'",,,,,,
collab_othent_245,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_244(3)] = '1'",,,,,,
fund_othent_245,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_244(4)] = '1'",,,,,,
dta_othent_245,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_244(5)] = '1'",,,,,,
indem_othent_245,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_244(6)] = '1'",,,,,,
service_othent_245,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_244(7)] = '1'",,,,,,
license_othent_245,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_244(8)] = '1'",,,,,,
commerce_othent_245,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_244(9)] = '1'",,,,,,
other_othent_245,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_244]",,,,,,"[agree_othent_244(10)] = '1'",,,,,,
none_othent_245,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_244(11)] = '1'",,,,,,
site_date_othent_245,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_245,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 9","if([site_date_othent_245] <> """", datediff([site_date_othent_245], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
nda_othent_255,governance_amendments,,checkbox,"Non-Disclosure (Confidentiality) Agreement","1, Non-Disclosure (Confidentiality) Agreement",,,,,,"[agree_othent_254(1)] = '1'",,,,,,
ctra_othent_255,governance_amendments,,checkbox,"Clinical Trial Research Agreement (CTRA)","1, Clinical Trial Research Agreement (CTRA)",,,,,,"[agree_othent_254(2)] = '1'",,,,,,
collab_othent_255,governance_amendments,,checkbox,"Collaboration/MACH Agreement","1, Collaboration/MACH Agreement",,,,,,"[agree_othent_254(3)] = '1'",,,,,,
fund_othent_255,governance_amendments,,checkbox,"Funding Agreement","1, Funding Agreement",,,,,,"[agree_othent_254(4)] = '1'",,,,,,
dta_othent_255,governance_amendments,,checkbox,"Data Transfer Agreement","1, Data Transfer Agreement",,,,,,"[agree_othent_254(5)] = '1'",,,,,,
indem_othent_255,governance_amendments,,checkbox,"Indemnity Agreement","1, Indemnity Agreement",,,,,,"[agree_othent_254(6)] = '1'",,,,,,
service_othent_255,governance_amendments,,checkbox,"Services Agreement","1, Services Agreement",,,,,,"[agree_othent_254(7)] = '1'",,,,,,
license_othent_255,governance_amendments,,checkbox,"Licensing Agreement","1, Licensing Agreement",,,,,,"[agree_othent_254(8)] = '1'",,,,,,
commerce_othent_255,governance_amendments,,checkbox,"Commercial Agreement","1, Commercial Agreement",,,,,,"[agree_othent_254(9)] = '1'",,,,,,
other_othent_255,governance_amendments,,checkbox,"Other agreement","1, [agree_othent_oth_254]",,,,,,"[agree_othent_254(10)] = '1'",,,,,,
none_othent_255,governance_amendments,,checkbox,"No agreements required","1, No agreements required",,,,,,"[agree_othent_254(11)] = '1'",,,,,,
site_date_othent_255,governance_amendments,,text,"Date site approved",,,date_dmy,,,,,,,,,,
datediff_othent_255,governance_amendments,,calc,"DATEDIFF calculation - othentstralian Participating Site 10","if([site_date_othent_255] <> """", datediff([site_date_othent_255], [initial_applicatio_arm_1][comparison_date], ""d"", ""dmy""), """")",,,,,,,,RH,,,," @HIDDEN"
amend_datediff_rank_1,governance_amendments,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">AMENDMENT APPROVAL",calc,"1st ranked datediff","min(
  [amend_datediff_hrec],
  [amend_datediff_protocol],
  [amend_datediff_ib_1],
  [amend_datediff_ib_2],
  [amend_datediff_master_1],
  [amend_datediff_master_2],
  [amend_datediff_master_3],
  [amend_datediff_master_4],
  [amend_datediff_master_5],
  [amend_datediff_master_6],
  [amend_datediff_master_7],
  [amend_datediff_master_8],
  [amend_datediff_master_9],
  [amend_datediff_master_10],
  [amend_datediff_florey_1],
  [amend_datediff_florey_2],
  [amend_datediff_florey_3],
  [amend_datediff_florey_4],
  [amend_datediff_florey_5],
  [amend_datediff_florey_6],
  [amend_datediff_florey_7],
  [amend_datediff_florey_8],
  [amend_datediff_florey_9],
  [amend_datediff_florey_10],
  [amend_datediff_other_1],
  [amend_datediff_other_2],
  [amend_datediff_other_3],
  [amend_datediff_other_4],
  [amend_datediff_other_5],
  [amend_datediff_other_6],
  [amend_datediff_other_7],
  [amend_datediff_other_8],
  [amend_datediff_other_9],
  [amend_datediff_other_10],
  [datediff_au_115],
  [datediff_au_125],
  [datediff_au_135],
  [datediff_au_145],
  [datediff_au_155],
  [datediff_au_165],
  [datediff_au_175],
  [datediff_au_185],
  [datediff_au_195],
  [datediff_au_205],
  [datediff_oseas_115],
  [datediff_oseas_125],
  [datediff_oseas_135],
  [datediff_oseas_145],
  [datediff_oseas_155],
  [datediff_oseas_165],
  [datediff_oseas_175],
  [datediff_oseas_185],
  [datediff_oseas_195],
  [datediff_oseas_205],
  [datediff_othent_165],
  [datediff_othent_175],
  [datediff_othent_185],
  [datediff_othent_195],
  [datediff_othent_205],
  [datediff_othent_215],
  [datediff_othent_225],
  [datediff_othent_235],
  [datediff_othent_245],
  [datediff_othent_255]
)",,,,,,,,,,,," @HIDDEN"
amend_date_rank_1,governance_amendments,,text,"1st ranked date of approval",,,date_dmy,,,,,,,,,," @CALCDATE([initial_applicatio_arm_1][comparison_date], [amend_datediff_rank_1], 'd')
@HIDDEN"
amend_approval_num_sponsor,governance_amendments,,text,"Approval number - Sponsor",,,,,,,,,,,,," @CALCTEXT(concat([initial_applicatio_arm_1][approval_num_sponsor], "" ("", [amend_num], "")""))
@HIDDEN"
amend_approval_num_partsite,governance_amendments,,text,"Approval number - Participating Site",,,,,,,,,,,,," @CALCTEXT(concat([initial_applicatio_arm_1][approval_num_partsite], "" ("", [amend_num], "")""))
@HIDDEN"
amend_approval_num_text,governance_amendments,,text,"Approval number as Calculated Text",,,,,,,,,,,,," @CALCTEXT(
  if([eoi_arm_1][role] = ""0"", [amend_approval_num_sponsor],
    if([eoi_arm_1][role] = ""1"", [amend_approval_num_sponsor],
      if([eoi_arm_1][role] = ""2"", [amend_approval_num_partsite],
        if([eoi_arm_1][role] = ""4"", 
          concat([amend_approval_num_sponsor], ""<br>"", [amend_approval_num_partsite]
          ),
          """"
        )
      )
    )
  )
)
@HIDDEN"
amend_approval_list_au_1,governance_amendments,,text,"List of approved Australian Participating Sites",,,,,,,"[amend_datediff_rank_1] <> """" and (
  [datediff_au_115] = [amend_datediff_rank_1] or
  [datediff_au_125] = [amend_datediff_rank_1] or
  [datediff_au_135] = [amend_datediff_rank_1] or
  [datediff_au_145] = [amend_datediff_rank_1] or
  [datediff_au_155] = [amend_datediff_rank_1] or
  [datediff_au_165] = [amend_datediff_rank_1] or
  [datediff_au_175] = [amend_datediff_rank_1] or
  [datediff_au_185] = [amend_datediff_rank_1] or
  [datediff_au_195] = [amend_datediff_rank_1] or
  [datediff_au_205] = [amend_datediff_rank_1]
)",,,,,," @CALCTEXT(
  if([amend_datediff_rank_1] <> """",
    concat(
      if([datediff_au_115] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_114]), """"),
      if([datediff_au_125] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_124]), """"),
      if([datediff_au_135] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_134]), """"),
      if([datediff_au_145] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_144]), """"),
      if([datediff_au_155] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_154]), """"),
      if([datediff_au_165] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_164]), """"),
      if([datediff_au_175] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_174]), """"),
      if([datediff_au_185] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_184]), """"),
      if([datediff_au_195] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_194]), """"),
      if([datediff_au_205] = [amend_datediff_rank_1], concat(""<br>"", [entity_au_204]), """")
    ),
    """"
  )
)
@HIDDEN"
